val_image,train_image,similarity
72e17470-f345-4801-9c4f-b975c9724322.jpg_2.jpg,290c9e40-fe90-4c0c-b8b4-39b322ab828a.jpg_1.jpg,0.9763
e8fe965b-3f6d-42a3-8ee1-f8dfc47e1ccc.jpg_1.jpg,2dcc3b1e-6f75-4902-8463-d9bb5b474d6d.jpg_1.jpg,0.9762
d42bbd88-81ec-4583-8550-6b691abdb9c0.jpg_0.jpg,af903ee7-b66f-4c07-ab37-708cf6fa53a4.jpg_0.jpg,0.9759
2497ac6e-98b0-498a-9065-4b68d6aae972.jpg_0.jpg,31698e39-e40d-436f-a257-fdcd99d399cf.jpg_0.jpg,0.9758
18634996-62e4-4126-9030-5cc4ab3e841f.jpg_0.jpg,a68c5b69-31cb-4b18-a987-20b81a9d12d0.jpg_0.jpg,0.9758
06cf0199-0238-4c99-bc36-ab3f679e40a9.jpg_3.jpg,788fa2c1-aec2-4df7-bd6b-e49cfb3dcc11.jpg_1.jpg,0.9756
f6a309fa-4866-4005-a469-d22f70790434.jpg_0.jpg,4ed6f4d3-aa83-47dc-9aaf-6dd851e61a2d.jpg_0.jpg,0.9755
3c0c1409-f10b-425b-a0bb-ca24dda96ae5.jpg_0.jpg,20873077-cd16-457e-8b1e-7ac753f317a3.jpg_0.jpg,0.9754
9472144c-00f6-4fb7-8e2f-fe7b1785e133.jpg_2.jpg,b01fecab-afcb-4d77-b355-caadb58fdc5e.jpg_3.jpg,0.9751
568ed5d5-1b8d-4f39-9a4b-3a5a5b13cd01.jpg_0.jpg,02a8fe8c-c5ed-4bc7-874a-413edb2b69d0.jpg_0.jpg,0.9744
80ca8d74-f7fb-445f-a162-2ab1d110978e.jpg_0.jpg,ed593e72-34cc-4191-9674-353dd778e756.jpg_0.jpg,0.9741
5ce086bb-5801-47f5-8a44-d699a5688529.jpg_0.jpg,fd5f6d02-fe38-4ac0-aa0c-65ab79c0907a.jpg_0.jpg,0.9728
01953ea0-c56a-4341-82bb-b8a21a2eb544.jpg_0.jpg,f6023b3a-3fce-4b08-ad13-2adf5614949b.jpg_0.jpg,0.9722
46582590-0272-4b18-a50f-b31f32798d67.jpg_0.jpg,b4559347-1e6a-416c-ba9a-6dcacc75e2d7.jpg_0.jpg,0.9722
53ccca79-ef15-414a-9ea4-a6be35fbfe6f.jpg_0.jpg,46b8defa-d090-4f45-b5cd-e9e2ea12dc7f.jpg_0.jpg,0.9713
5b3730ab-d233-4eb5-bc94-3789ab39acb4.jpg_0.jpg,f28c92bf-0ddd-4300-a35b-c00a07049fd9.jpg_0.jpg,0.9709
18634996-62e4-4126-9030-5cc4ab3e841f.jpg_0.jpg,37cae034-01f1-49f0-b040-62ba05f02a30.jpg_0.jpg,0.9702
3c0c1409-f10b-425b-a0bb-ca24dda96ae5.jpg_0.jpg,6a53c7d0-b247-4e60-bc59-2555dcc15b99.jpg_0.jpg,0.9689
f6ceb43e-5e82-46a0-88a5-6450b389650f.jpg_0.jpg,7ea2416f-18d1-4fa6-9eb5-65341612070a.jpg_0.jpg,0.9688
4ecf455d-d9b2-4c91-9d66-6d25003767d1.jpg_0.jpg,08ba0a46-cc14-4316-bfd5-9b7ca43677a5.jpg_0.jpg,0.9687
9fdd30e5-b8ef-4d43-94b4-56bc1bb28dc3.jpg_0.jpg,fcb5b2f5-20a8-48fc-92dc-a51f46424b62.jpg_0.jpg,0.9684
