base_name,original_filename,img_h,img_w,ssim_whole,ssim_edit_region,edit_region_pct,ssim_level,ssim_tier
72edf08d-8ac1-47ce-b7dd-626e53535142_0,72edf08d-8ac1-47ce-b7dd-626e53535142_0.jpg,512,421,0.98743,0.8494,8.04,🔴 SIGNIFICANT,significant
72f0359b-094c-41c4-b0db-5d601cd19ceb_0,72f0359b-094c-41c4-b0db-5d601cd19ceb.jpg_0.jpg,511,372,0.98745,0.88686,9.96,🔶 MODERATE,moderate
72f433d6-d1e1-4a44-9180-8d159b83c0f1_0,72f433d6-d1e1-4a44-9180-8d159b83c0f1_0.jpg,512,297,0.99396,0.94987,11.09,⚠️  MILD,mild
72fd1aea-7b7a-44a5-a75f-a14d3e496c3d_1,72fd1aea-7b7a-44a5-a75f-a14d3e496c3d_1.jpg,512,407,0.98512,0.90629,15.12,🔶 MODERATE,moderate
72fdba51-f125-4d02-b9af-cbea095bcb2e_0,72fdba51-f125-4d02-b9af-cbea095bcb2e.jpg_0.jpg,512,384,0.98832,0.90202,10.73,🔶 MODERATE,moderate
73038ba6-104a-4ffe-ab41-46c82355a581_1,73038ba6-104a-4ffe-ab41-46c82355a581.jpg_1.jpg,512,392,0.99428,0.93018,7.62,⚠️  MILD,mild
7309b116-6a3c-4baa-ba40-96a04faec02c_0,7309b116-6a3c-4baa-ba40-96a04faec02c.jpg_0.jpg,512,364,0.99777,0.96906,6.35,⚠️  MILD,mild
731ecc09-6ba0-458f-a011-2e1a980ed238_0,731ecc09-6ba0-458f-a011-2e1a980ed238.jpg_0.jpg,512,407,0.9902,0.91634,9.38,🔶 MODERATE,moderate
733b0144-efec-430c-af7c-60d168f68b14_0,733b0144-efec-430c-af7c-60d168f68b14.jpg_0.jpg,512,411,0.99275,0.92675,8.04,⚠️  MILD,mild
7341a062-6e27-4ec3-9a59-22629d3601b7_0,7341a062-6e27-4ec3-9a59-22629d3601b7_0.jpg,512,402,0.99342,0.92995,8.85,⚠️  MILD,mild
734adad6-4563-4499-94f0-f139e4dab72c_1,734adad6-4563-4499-94f0-f139e4dab72c.jpg_1.jpg,280,223,0.98793,0.94364,19.39,⚠️  MILD,mild
735f4c90-0d3e-4ff2-912b-6e8eb6d6f4e4_0,735f4c90-0d3e-4ff2-912b-6e8eb6d6f4e4_0.jpg,512,369,0.99372,0.93065,8.5,⚠️  MILD,mild
736a00ce-5b03-4475-81df-452a298f0085_0,736a00ce-5b03-4475-81df-452a298f0085.jpg_0.jpg,512,361,0.99509,0.94335,6.95,⚠️  MILD,mild
736b7366-a68f-4c44-9595-3a5202ff8a3f_0,736b7366-a68f-4c44-9595-3a5202ff8a3f_0.jpg,512,319,0.99207,0.9195,9.13,🔶 MODERATE,moderate
736c2933-064c-4d07-b805-c41d17952df8_0,736c2933-064c-4d07-b805-c41d17952df8.jpg_0.jpg,503,440,0.99557,0.91628,4.25,🔶 MODERATE,moderate
737e797e-564b-4608-b46d-68d0339b8235_0,737e797e-564b-4608-b46d-68d0339b8235.jpg_0.jpg,512,361,0.99577,0.96163,8.12,⚠️  MILD,mild
739270fe-0d8c-4386-aeef-e5f86e4a870d_0,739270fe-0d8c-4386-aeef-e5f86e4a870d.jpg_0.jpg,512,405,0.99771,0.96628,6.14,⚠️  MILD,mild
7392e1b7-93d3-4610-a7da-d62823f951c1_0,7392e1b7-93d3-4610-a7da-d62823f951c1.jpg_0.jpg,512,368,0.99535,0.94749,8.17,⚠️  MILD,mild
73a3eeff-7825-4a41-b091-404d8e236e39_0,73a3eeff-7825-4a41-b091-404d8e236e39.jpg_0.jpg,512,398,0.99587,0.96656,9.05,⚠️  MILD,mild
73c2344b-3c85-4376-9076-d477afce1dd5_0,73c2344b-3c85-4376-9076-d477afce1dd5.jpg_0.jpg,512,421,0.99142,0.92833,10.2,⚠️  MILD,mild
73d4c4f8-0b36-4eb5-92a7-3c676b5f76c5_0,73d4c4f8-0b36-4eb5-92a7-3c676b5f76c5.jpg_0.jpg,512,416,0.99103,0.93607,12.63,⚠️  MILD,mild
73d9a548-eec3-4c1b-86a3-462077283954_0,73d9a548-eec3-4c1b-86a3-462077283954.jpg_0.jpg,512,413,0.9869,0.93518,18.97,⚠️  MILD,mild
73e1ae34-d802-450e-a25e-1687405a472a_1,73e1ae34-d802-450e-a25e-1687405a472a.jpg_1.jpg,512,330,0.99673,0.961,5.79,⚠️  MILD,mild
